Age,Country,Subscription_Type,Watch_Time_Hours,Favorite_Genre,Last_Login
51,India,Basic,890.7,Sci-Fi,5/18/2024
46,Brazil,Basic,452.21,Romance,8/21/2024
60,India,Standard,703.49,Comedy,6/6/2024
27,Australia,Premium,114.84,Romance,12/21/2024
75,India,Premium,735.79,Documentary,10/16/2024
70,USA,Premium,486.56,Horror,5/15/2024
78,France,Premium,443.05,Drama,11/20/2024
74,Australia,Premium,609.74,Documentary,8/16/2024
70,France,Premium,101.32,Romance,7/19/2024
59,Germany,Basic,452.51,Action,11/16/2024
73,Brazil,Basic,726.72,Documentary,4/8/2024
76,Japan,Standard,164.45,Drama,5/11/2024
78,France,Basic,924.9,Comedy,3/23/2024
71,USA,Basic,740.04,Comedy,12/14/2024
73,UK,Premium,598.3,Comedy,12/23/2024
61,Japan,Standard,523.21,Romance,4/28/2024
70,Australia,Basic,858.29,Drama,11/9/2024
49,Japan,Standard,635.38,Documentary,4/10/2024
40,Brazil,Standard,402.75,Documentary,9/20/2024
33,France,Basic,435.56,Comedy,3/5/2025
37,France,Standard,164.11,Romance,5/16/2024
49,USA,Premium,413.2,Sci-Fi,7/22/2024
32,Canada,Premium,626.92,Horror,4/26/2024
57,Australia,Basic,731.09,Romance,10/23/2024
31,Japan,Basic,122.87,Romance,7/4/2024
18,France,Standard,540.53,Action,9/7/2024
55,Australia,Premium,503.97,Horror,3/8/2025
70,Japan,Standard,225.38,Action,12/12/2024
79,USA,Basic,135.98,Drama,3/14/2024
39,USA,Basic,709.87,Horror,12/13/2024
67,Japan,Standard,488.31,Comedy,1/28/2025
77,UK,Premium,690.18,Drama,11/18/2024
57,Canada,Basic,808.07,Action,9/4/2024
17,Australia,Standard,978.84,Comedy,2/27/2025
53,Australia,Premium,81.11,Horror,3/9/2024
37,Australia,Basic,271.58,Romance,5/29/2024
43,Canada,Premium,229.82,Comedy,11/23/2024
34,France,Basic,748.26,Documentary,8/12/2024
70,France,Premium,356.57,Documentary,3/23/2024
23,Canada,Premium,87.79,Documentary,9/3/2024
37,Mexico,Standard,627.39,Comedy,8/31/2024
33,France,Basic,13.55,Romance,5/12/2024
15,UK,Premium,336.13,Drama,5/12/2024
50,UK,Basic,251.13,Horror,10/17/2024
55,Canada,Standard,175.47,Drama,12/4/2024
44,Canada,Premium,98.9,Action,1/8/2025
44,Canada,Standard,988.14,Drama,1/29/2025
80,UK,Standard,816.36,Documentary,9/7/2024
58,Brazil,Basic,732.09,Romance,2/1/2025
20,Australia,Basic,202.57,Action,9/18/2024
68,Germany,Standard,758.62,Romance,3/17/2024
61,Japan,Premium,10.31,Romance,7/24/2024
70,Brazil,Standard,633.29,Romance,3/5/2025
63,Germany,Premium,278.69,Documentary,12/25/2024
77,India,Basic,147.04,Horror,7/31/2024
79,Mexico,Premium,884.66,Documentary,2/23/2025
44,UK,Premium,485.81,Sci-Fi,7/4/2024
36,USA,Standard,479.08,Comedy,5/10/2024
37,Germany,Basic,744.34,Drama,2/12/2025
70,Mexico,Basic,17.94,Documentary,10/21/2024
78,Canada,Standard,457.57,Comedy,3/4/2025
37,Australia,Premium,325.1,Action,2/10/2025
46,Mexico,Standard,18.62,Comedy,9/8/2024
38,UK,Standard,80.87,Romance,11/27/2024
67,Brazil,Standard,164.13,Comedy,10/30/2024
62,Mexico,Premium,640.75,Horror,6/20/2024
53,USA,Standard,793.72,Romance,8/25/2024
54,Germany,Standard,517.41,Action,4/19/2024
38,France,Basic,999.14,Comedy,6/11/2024
80,Germany,Standard,766.11,Romance,11/15/2024
76,Germany,Basic,689.16,Action,2/23/2025
14,Brazil,Standard,702.52,Action,8/9/2024
51,India,Basic,975.55,Sci-Fi,2/13/2025
32,India,Basic,670.83,Action,4/1/2024
56,Brazil,Premium,342.26,Drama,8/8/2024
34,UK,Basic,846.85,Documentary,10/18/2024
55,Australia,Premium,558.87,Romance,10/14/2024
52,Brazil,Basic,989.34,Action,5/11/2024
15,Japan,Basic,835.1,Romance,8/12/2024
70,USA,Basic,242.26,Horror,7/10/2024
76,Canada,Basic,759.5,Sci-Fi,10/31/2024
51,Brazil,Premium,507.15,Documentary,6/21/2024
42,Japan,Premium,269.42,Documentary,6/20/2024
58,UK,Premium,153.32,Comedy,9/16/2024
50,USA,Basic,457.19,Drama,5/15/2024
79,Brazil,Standard,799.77,Comedy,7/10/2024
57,Australia,Basic,934.12,Documentary,3/7/2025
61,Germany,Basic,961.56,Sci-Fi,4/15/2024
49,Australia,Basic,478.8,Drama,6/3/2024
24,Brazil,Standard,56.21,Documentary,8/23/2024
76,Japan,Basic,885.8,Comedy,9/14/2024
54,UK,Basic,14.28,Horror,2/23/2025
45,Canada,Premium,580.9,Sci-Fi,10/4/2024
43,USA,Basic,566.29,Documentary,7/23/2024
43,Canada,Standard,358.64,Horror,12/25/2024
50,Australia,Premium,826.06,Action,3/21/2024
46,USA,Standard,893.69,Horror,8/20/2024
43,Germany,Basic,737.2,Action,7/17/2024
18,Canada,Premium,72.54,Drama,9/15/2024
53,Mexico,Basic,741.62,Action,12/3/2024
26,UK,Basic,945.3,Sci-Fi,2/11/2025
78,Canada,Standard,46.3,Action,10/20/2024
79,India,Premium,466.93,Horror,3/7/2025
40,France,Basic,866.49,Horror,9/28/2024
26,India,Standard,192.61,Horror,10/8/2024
47,Canada,Premium,414.81,Comedy,10/19/2024
63,Japan,Standard,332.14,Drama,11/30/2024
25,India,Premium,531.46,Romance,7/30/2024
20,Australia,Premium,260.06,Action,3/5/2025
78,Australia,Basic,301.54,Drama,10/27/2024
63,India,Basic,870.79,Sci-Fi,3/5/2025
60,France,Standard,553.57,Documentary,8/13/2024
14,Mexico,Basic,792.96,Drama,3/2/2025
78,Japan,Standard,982.44,Documentary,6/2/2024
30,Germany,Basic,174.99,Documentary,1/18/2025
67,Australia,Standard,727.39,Sci-Fi,10/31/2024
40,Brazil,Premium,3.69,Sci-Fi,1/7/2025
38,India,Premium,455.69,Sci-Fi,12/25/2024
57,Australia,Standard,956.44,Comedy,1/9/2025
34,Germany,Standard,109.93,Horror,7/11/2024
33,Australia,Basic,748.3,Horror,3/12/2024
39,Australia,Basic,914.92,Action,9/19/2024
18,UK,Premium,747.86,Documentary,2/8/2025
72,Mexico,Basic,235.91,Romance,5/2/2024
49,Germany,Premium,749.77,Romance,8/20/2024
66,Germany,Basic,628.14,Comedy,4/28/2024
80,USA,Standard,776.4,Action,8/5/2024
75,UK,Basic,838.37,Documentary,8/15/2024
48,Brazil,Basic,222.55,Drama,6/9/2024
16,Canada,Basic,701.24,Action,8/3/2024
40,Australia,Standard,444.18,Drama,2/18/2025
53,India,Premium,883.16,Action,10/24/2024
23,Mexico,Standard,287.09,Drama,12/4/2024
52,Japan,Premium,745.62,Drama,11/16/2024
51,USA,Basic,366.11,Drama,6/14/2024
41,Germany,Basic,800.18,Horror,7/23/2024
68,Mexico,Premium,218,Horror,10/20/2024
62,India,Basic,811.94,Comedy,6/16/2024
59,UK,Standard,154.17,Sci-Fi,1/20/2025
40,Mexico,Standard,538.64,Sci-Fi,1/29/2025
21,Japan,Premium,952.42,Drama,9/1/2024
38,Canada,Premium,60.01,Documentary,11/10/2024
55,Brazil,Basic,31.08,Romance,3/2/2025
68,UK,Standard,769.68,Drama,12/7/2024
13,Canada,Premium,205.73,Drama,8/9/2024
23,Canada,Premium,449.56,Romance,10/27/2024
26,France,Standard,324.19,Horror,4/7/2024
29,Mexico,Basic,349.96,Documentary,6/6/2024
76,Australia,Standard,484.18,Action,6/27/2024
80,UK,Basic,691.81,Documentary,5/24/2024
20,Brazil,Standard,641.48,Drama,7/21/2024
29,India,Premium,462.73,Documentary,6/16/2024
36,Canada,Premium,655.31,Action,8/5/2024
42,Japan,Premium,630.76,Sci-Fi,3/19/2024
50,USA,Basic,20.48,Horror,12/26/2024
70,Canada,Basic,857.43,Action,2/27/2025
24,India,Standard,23.35,Romance,4/25/2024
57,Japan,Standard,52.82,Sci-Fi,5/28/2024
45,USA,Basic,332.26,Drama,10/3/2024
72,Germany,Basic,54.61,Horror,4/18/2024
51,Mexico,Basic,438.98,Horror,9/23/2024
20,Brazil,Standard,539.58,Action,6/6/2024
21,India,Standard,959.06,Comedy,11/23/2024
14,Japan,Standard,45.63,Drama,1/4/2025
42,Mexico,Standard,903.41,Drama,2/1/2025
45,Australia,Basic,687.91,Comedy,6/29/2024
57,India,Standard,561.13,Romance,1/14/2025
74,Brazil,Basic,675,Action,10/20/2024
18,UK,Standard,890.77,Romance,6/23/2024
35,UK,Standard,746.89,Horror,1/21/2025
61,Australia,Premium,138.06,Action,7/29/2024
77,UK,Standard,225.61,Action,3/19/2024
57,Brazil,Standard,394.56,Action,4/3/2024
73,Canada,Basic,902.54,Sci-Fi,6/28/2024
58,France,Basic,491.04,Romance,11/4/2024
26,France,Basic,83.59,Sci-Fi,11/21/2024
31,India,Basic,449.45,Sci-Fi,2/20/2025
35,Australia,Basic,418.9,Horror,6/25/2024
27,Canada,Standard,331.1,Action,3/6/2025
17,Japan,Premium,508.92,Drama,4/1/2024
62,Canada,Premium,272.88,Documentary,9/27/2024
50,France,Standard,362.15,Horror,7/20/2024
31,Germany,Premium,934.33,Romance,11/15/2024
69,Japan,Premium,109.87,Documentary,4/5/2024
67,USA,Standard,747.73,Comedy,10/5/2024
52,Canada,Standard,674.12,Horror,8/11/2024
62,Germany,Standard,958.8,Documentary,2/26/2025
20,India,Premium,107.38,Documentary,5/26/2024
20,Mexico,Basic,901.22,Horror,9/30/2024
55,Brazil,Basic,441.32,Drama,6/10/2024
65,India,Basic,233.67,Action,2/23/2025
63,Japan,Standard,42.36,Horror,11/8/2024
50,Australia,Premium,220.24,Documentary,12/3/2024
49,Japan,Premium,756.54,Documentary,8/21/2024
19,Australia,Standard,308.63,Sci-Fi,11/20/2024
60,India,Premium,165.43,Action,2/15/2025
21,Japan,Premium,710.05,Sci-Fi,6/18/2024
68,Brazil,Basic,875.2,Comedy,8/5/2024
15,Mexico,Premium,151.14,Documentary,2/24/2025
57,Brazil,Premium,426.41,Romance,8/7/2024
75,UK,Standard,390.05,Drama,2/18/2025
20,Germany,Premium,599.78,Documentary,6/18/2024
37,UK,Premium,700.62,Documentary,1/16/2025
24,Australia,Basic,520.73,Drama,5/17/2024
43,USA,Premium,8.58,Documentary,12/15/2024
16,UK,Basic,596.5,Horror,7/18/2024
56,USA,Standard,639.06,Comedy,8/4/2024
23,Australia,Premium,133.63,Comedy,5/31/2024
61,UK,Standard,557.79,Comedy,3/7/2025
45,Australia,Premium,387.32,Romance,3/16/2024
18,Mexico,Basic,712.33,Drama,3/25/2024
24,Germany,Standard,168.27,Sci-Fi,5/9/2024
45,Germany,Standard,996.64,Sci-Fi,3/10/2024
48,UK,Basic,68.93,Romance,1/11/2025
43,France,Standard,903.68,Drama,11/29/2024
59,Germany,Standard,44.63,Sci-Fi,7/1/2024
25,Australia,Standard,264.82,Sci-Fi,7/12/2024
75,Brazil,Premium,490.78,Sci-Fi,2/23/2025
40,Brazil,Basic,496.6,Documentary,4/14/2024
21,USA,Standard,887.22,Horror,6/16/2024
40,USA,Premium,747.98,Comedy,11/6/2024
24,India,Standard,374.22,Romance,12/26/2024
52,Australia,Standard,291.13,Horror,3/3/2025
54,Mexico,Standard,342.12,Romance,11/24/2024
35,India,Premium,377.51,Romance,10/23/2024
37,Canada,Standard,500.89,Action,8/22/2024
41,Australia,Basic,615.23,Drama,2/20/2025
45,Australia,Premium,592.32,Action,9/14/2024
36,Canada,Premium,541.9,Horror,4/10/2024
35,India,Basic,793.71,Comedy,4/21/2024
59,Canada,Premium,263.71,Sci-Fi,8/15/2024
22,Japan,Standard,797.93,Drama,12/1/2024
32,Brazil,Basic,32.21,Action,4/25/2024
40,Canada,Basic,699.95,Sci-Fi,4/16/2024
15,UK,Basic,377.09,Comedy,3/9/2024
58,Canada,Premium,364.05,Sci-Fi,7/22/2024
13,UK,Basic,723.87,Sci-Fi,11/4/2024
63,Australia,Premium,840.92,Romance,2/7/2025
60,Canada,Basic,479,Sci-Fi,1/12/2025
35,Brazil,Basic,843.53,Romance,12/11/2024
17,France,Standard,214.9,Action,1/24/2025
46,Mexico,Basic,780.43,Drama,6/28/2024
64,USA,Basic,998.4,Comedy,8/10/2024
28,Germany,Standard,315.45,Sci-Fi,3/28/2024
55,India,Basic,349.26,Comedy,7/12/2024
47,Germany,Standard,176.79,Comedy,3/14/2024
17,Brazil,Basic,7.28,Romance,5/31/2024
62,Australia,Basic,319.23,Sci-Fi,2/21/2025
58,Canada,Basic,337.72,Action,12/11/2024
78,UK,Standard,626.01,Sci-Fi,2/16/2025
26,USA,Standard,112.89,Romance,5/22/2024
67,Mexico,Standard,381.55,Comedy,10/7/2024
59,Canada,Standard,120.57,Comedy,6/27/2024
71,UK,Basic,468.16,Horror,4/21/2024
37,USA,Standard,749.93,Romance,1/25/2025
73,Australia,Basic,223.84,Action,2/13/2025
39,USA,Premium,48.85,Documentary,7/11/2024
65,USA,Basic,251.81,Documentary,8/16/2024
61,Japan,Basic,162.42,Drama,4/8/2024
74,Canada,Premium,490.43,Drama,3/17/2024
14,Mexico,Basic,207.47,Documentary,6/22/2024
25,USA,Standard,153.17,Action,4/23/2024
46,Mexico,Premium,897.25,Documentary,10/27/2024
17,Germany,Standard,613.95,Comedy,4/14/2024
33,Brazil,Premium,671.95,Documentary,11/3/2024
40,Canada,Basic,818.51,Sci-Fi,2/4/2025
24,USA,Premium,468.27,Horror,6/6/2024
47,Australia,Standard,861.25,Sci-Fi,10/10/2024
53,India,Premium,963.18,Comedy,6/20/2024
64,Australia,Basic,449.58,Documentary,12/28/2024
71,Australia,Basic,619.84,Action,1/1/2025
34,Mexico,Basic,269.72,Documentary,4/28/2024
49,Australia,Basic,970.76,Romance,11/17/2024
22,Canada,Basic,597.58,Drama,1/30/2025
65,Japan,Basic,708.15,Romance,4/17/2024
61,France,Basic,474.49,Action,3/1/2025
20,India,Premium,648.5,Action,1/20/2025
74,Mexico,Basic,535.32,Romance,10/17/2024
78,UK,Standard,910.2,Drama,6/4/2024
35,Japan,Premium,532.11,Comedy,6/4/2024
72,France,Standard,0.22,Comedy,9/23/2024
26,USA,Basic,346.62,Action,1/14/2025
22,Brazil,Premium,119.6,Documentary,5/5/2024
50,India,Basic,950.44,Action,11/22/2024
52,Japan,Standard,869.3,Sci-Fi,6/7/2024
50,UK,Premium,543.09,Documentary,2/2/2025
14,Brazil,Premium,320.11,Action,1/8/2025
37,India,Premium,939.67,Documentary,5/2/2024
16,USA,Basic,582.57,Romance,11/5/2024
55,Japan,Standard,259.84,Action,7/18/2024
32,Australia,Premium,133.72,Documentary,3/18/2024
52,Mexico,Basic,776.96,Action,4/30/2024
25,USA,Basic,131.49,Documentary,8/25/2024
65,India,Basic,706.12,Romance,11/4/2024
23,Canada,Standard,915.1,Sci-Fi,2/9/2025
48,Australia,Basic,241.08,Sci-Fi,4/21/2024
44,USA,Premium,12.43,Action,5/13/2024
48,Australia,Basic,415.76,Sci-Fi,8/12/2024
71,Canada,Basic,26.48,Comedy,3/19/2024
41,Germany,Basic,617.65,Documentary,10/19/2024
36,Canada,Standard,801.94,Horror,4/18/2024
27,Australia,Basic,1.33,Drama,11/18/2024
26,India,Basic,451.46,Action,9/24/2024
28,India,Premium,25.86,Comedy,2/14/2025
54,Brazil,Premium,659.95,Comedy,5/14/2024
62,Australia,Basic,696.69,Documentary,1/24/2025
70,Canada,Basic,175.47,Comedy,8/20/2024
25,Mexico,Premium,961.36,Romance,11/1/2024
46,Germany,Basic,897.39,Comedy,12/19/2024
74,Japan,Premium,991.1,Romance,11/5/2024
31,India,Basic,332.51,Romance,7/9/2024
40,USA,Premium,202.44,Action,9/24/2024
50,France,Standard,500.36,Horror,10/14/2024
57,France,Standard,910.14,Horror,10/7/2024
77,USA,Standard,897.85,Drama,6/4/2024
50,Japan,Premium,402.75,Horror,4/6/2024
43,Japan,Basic,570.27,Documentary,7/25/2024
38,Australia,Basic,437.14,Romance,11/24/2024
23,Germany,Standard,335.11,Documentary,1/30/2025
73,Mexico,Basic,186.39,Horror,11/8/2024
58,Brazil,Premium,957.43,Romance,2/11/2025
28,Mexico,Premium,463.06,Drama,1/14/2025
75,Japan,Premium,6.07,Sci-Fi,8/2/2024
70,Brazil,Basic,99.63,Sci-Fi,7/28/2024
29,France,Premium,30.07,Sci-Fi,1/17/2025
64,Mexico,Premium,404.19,Horror,3/1/2025
56,Canada,Basic,234.17,Drama,4/2/2024
45,Canada,Premium,501.94,Comedy,9/18/2024
31,Australia,Standard,214.05,Horror,1/21/2025
45,Canada,Standard,938.84,Horror,7/5/2024
61,France,Premium,670.45,Romance,1/8/2025
61,Brazil,Standard,403.41,Documentary,12/16/2024
37,USA,Premium,876.06,Horror,5/30/2024
49,UK,Premium,601.25,Drama,8/23/2024
49,Australia,Premium,317.94,Sci-Fi,4/16/2024
56,Canada,Premium,410.65,Action,1/25/2025
55,Japan,Standard,934.73,Documentary,10/21/2024
34,USA,Basic,719.62,Horror,5/14/2024
58,Canada,Basic,90.56,Comedy,5/10/2024
35,India,Premium,154.46,Sci-Fi,6/16/2024
35,France,Standard,130.55,Romance,9/25/2024
31,Mexico,Standard,625.88,Romance,3/20/2024
66,Mexico,Standard,577.39,Romance,7/16/2024
78,Canada,Premium,414.82,Comedy,3/3/2025
33,Germany,Basic,368.98,Comedy,8/23/2024
42,Canada,Standard,43.63,Documentary,12/13/2024
52,India,Standard,100.6,Romance,5/24/2024
67,Brazil,Premium,304.44,Sci-Fi,6/7/2024
13,France,Standard,389.26,Sci-Fi,1/30/2025
52,Mexico,Basic,244.03,Action,8/13/2024
62,Canada,Basic,360.95,Romance,3/27/2024
61,Mexico,Premium,420.02,Romance,3/8/2024
32,Australia,Premium,111.62,Sci-Fi,8/7/2024
40,USA,Premium,456.17,Documentary,1/21/2025
61,Germany,Basic,289.08,Comedy,10/18/2024
39,Mexico,Standard,15.85,Horror,6/15/2024
20,India,Premium,744.85,Documentary,1/18/2025
74,Germany,Basic,97.11,Action,3/7/2025
15,Australia,Premium,44.22,Horror,11/5/2024
58,USA,Premium,819.4,Drama,8/25/2024
80,Germany,Premium,858.94,Sci-Fi,7/20/2024
21,Japan,Standard,891.2,Drama,12/5/2024
80,Brazil,Basic,533.67,Romance,3/14/2024
13,France,Standard,735.23,Documentary,12/20/2024
77,USA,Premium,594.64,Comedy,3/30/2024
54,Germany,Premium,318.05,Sci-Fi,5/30/2024
52,Canada,Premium,113.71,Horror,12/7/2024
58,Australia,Premium,520.53,Sci-Fi,6/19/2024
20,Japan,Standard,414.2,Sci-Fi,12/4/2024
52,Australia,Standard,58.52,Sci-Fi,11/7/2024
69,Japan,Standard,26.4,Documentary,6/19/2024
73,India,Premium,159.9,Comedy,8/7/2024
38,UK,Standard,207.95,Horror,12/20/2024
34,Canada,Premium,388.56,Documentary,5/15/2024
68,Brazil,Premium,946.76,Documentary,4/5/2024
70,USA,Standard,748.33,Action,7/31/2024
67,Brazil,Premium,768.38,Comedy,4/3/2024
70,USA,Standard,292.98,Action,4/4/2024
46,Brazil,Premium,809.45,Sci-Fi,3/16/2024
35,Mexico,Standard,680.82,Sci-Fi,7/28/2024
40,Mexico,Standard,234.39,Sci-Fi,2/2/2025
66,Brazil,Standard,988.07,Comedy,11/6/2024
62,Japan,Premium,823.18,Romance,3/17/2024
17,Mexico,Basic,385.26,Drama,6/27/2024
43,Germany,Basic,237.81,Documentary,10/29/2024
58,USA,Basic,263.72,Sci-Fi,4/13/2024
21,Japan,Premium,344.23,Drama,2/24/2025
37,Germany,Standard,551.87,Action,3/15/2024
44,Canada,Basic,485.07,Romance,1/11/2025
62,France,Premium,170.81,Comedy,2/8/2025
71,India,Standard,649.62,Sci-Fi,5/24/2024
18,Japan,Standard,518.56,Documentary,3/20/2024
64,Mexico,Standard,72.86,Documentary,4/12/2024
31,Mexico,Premium,627.98,Sci-Fi,11/15/2024
49,Canada,Premium,719.6,Action,4/19/2024
20,USA,Premium,25.82,Romance,5/11/2024
49,Australia,Standard,532.75,Romance,8/14/2024
32,Japan,Premium,169.91,Documentary,1/9/2025
61,UK,Premium,654.79,Drama,1/28/2025
58,Canada,Premium,450.09,Comedy,4/21/2024
46,Australia,Standard,973.64,Documentary,9/20/2024
40,Germany,Standard,338.57,Horror,7/22/2024
18,France,Premium,980.58,Drama,2/23/2025
29,India,Standard,61.21,Sci-Fi,7/11/2024
41,USA,Standard,597.39,Romance,8/27/2024
29,France,Premium,343.08,Drama,2/24/2025
62,Australia,Premium,88.54,Documentary,5/28/2024
42,France,Premium,4.21,Documentary,4/17/2024
64,Brazil,Standard,860.4,Documentary,8/29/2024
44,France,Standard,257.81,Horror,11/1/2024
17,USA,Basic,390.03,Action,12/21/2024
34,UK,Standard,92.52,Documentary,12/24/2024
52,USA,Basic,419.25,Action,1/22/2025
23,Brazil,Standard,150.4,Romance,11/24/2024
52,Brazil,Basic,59.19,Comedy,12/12/2024
60,Australia,Standard,832.05,Comedy,3/22/2024
67,Mexico,Basic,365.32,Romance,2/22/2025
38,France,Premium,140.94,Horror,10/2/2024
48,Germany,Standard,789.33,Horror,10/10/2024
23,Mexico,Basic,76.24,Sci-Fi,10/15/2024
23,Brazil,Premium,288.9,Horror,12/29/2024
73,India,Basic,758.08,Romance,10/14/2024
21,Australia,Basic,193.96,Horror,5/16/2024
61,Canada,Standard,524.52,Documentary,7/20/2024
55,Australia,Basic,951.33,Sci-Fi,11/16/2024
46,UK,Basic,762.24,Sci-Fi,8/22/2024
19,USA,Standard,508.07,Drama,2/22/2025
53,Australia,Premium,694.5,Drama,12/13/2024
30,France,Basic,988.68,Romance,10/11/2024
42,France,Standard,60.56,Sci-Fi,3/23/2024
63,Mexico,Premium,840.99,Documentary,11/24/2024
44,Mexico,Premium,347.62,Romance,9/2/2024
38,Germany,Premium,932.36,Sci-Fi,4/17/2024
57,Brazil,Premium,452.42,Horror,3/12/2024
36,UK,Standard,360.34,Romance,9/30/2024
73,Mexico,Basic,346.65,Horror,6/14/2024
76,UK,Basic,96.44,Comedy,5/14/2024
54,India,Basic,858.38,Documentary,6/8/2024
16,Canada,Standard,886.36,Documentary,4/26/2024
51,Australia,Premium,452.78,Drama,2/6/2025
49,Canada,Basic,929.52,Romance,4/28/2024
71,India,Premium,139.99,Comedy,2/26/2025
28,India,Standard,779.86,Documentary,6/25/2024
29,Brazil,Premium,535.51,Comedy,10/31/2024
58,India,Basic,922.38,Romance,12/16/2024
66,Australia,Standard,580.81,Documentary,10/10/2024
62,Mexico,Premium,614.42,Action,5/15/2024
58,Japan,Basic,394.65,Sci-Fi,11/20/2024
53,Australia,Standard,661.25,Horror,11/17/2024
71,Australia,Premium,969.81,Action,5/3/2024
45,Germany,Standard,756.39,Action,5/1/2024
74,USA,Basic,255.3,Action,7/21/2024
43,Mexico,Basic,89.77,Comedy,4/2/2024
14,India,Basic,255.98,Sci-Fi,9/23/2024
48,Japan,Premium,336.22,Action,12/30/2024
56,Germany,Premium,259.05,Drama,5/10/2024
13,USA,Basic,147.52,Drama,7/16/2024
76,Australia,Basic,209.94,Drama,10/1/2024
77,India,Premium,964.36,Action,6/1/2024
76,India,Basic,363.18,Drama,9/8/2024
47,Germany,Premium,612.78,Romance,6/30/2024
62,Germany,Standard,521.11,Action,6/14/2024
15,Japan,Standard,607.53,Action,11/7/2024
78,India,Basic,555.5,Romance,8/31/2024
24,France,Basic,747.5,Sci-Fi,2/9/2025
59,Australia,Premium,112.35,Sci-Fi,3/25/2024
76,France,Standard,250.61,Action,5/5/2024
56,Japan,Premium,944.15,Comedy,2/3/2025
23,UK,Standard,103.51,Comedy,11/30/2024
67,Japan,Standard,818.91,Comedy,9/14/2024
35,Canada,Premium,368.65,Romance,2/3/2025
56,Australia,Basic,906.63,Drama,6/25/2024
27,UK,Premium,456.53,Horror,4/14/2024
